storm_names,year,month,day,time,zone,lat_n,long_w,max_winds_kts,SS,pre_lat,pre_long,sub_lat,sub_long,dir,sp1,sp2,frame,hours,eff_wind_sp,angle_binary,direct,angled,cross,press_mbars,max_sust_winds_kts,width_storm,storm_surge,storm_tide,moon_phase,tide_phase,low_neap,high_neap,high_ebb,high_tide_line,low_tide_line,rate_rainfall,total_rainfall,deaths,states_affected,damage_unadj,col_index,infaltion_adj,norm_cost
Lee,2011,9,4,1030,UTC,29.6,92.1,40,0,29.5,92.5,30.3,91.8,-48.81,-0.85196633,-73.39796779,12,(6 Hour),6.116497316,Direct,1,0,0,986,40,,,6.25,6,Low Ebb,0,0,0,2.1,0,,,21,Louisiana,2510,93.6000,,
Beryl,2012,5,28,410,UTC,30.2,81.4,55,0,30.1,80.7,30.4,82.5,9.46,0.16514868,125.9989513,12,(6 Hour),10.49991261,Direct,1,0,0,996,55,,,,6,High Ebb,0,0,1,4.3,0.3,,,1,Florida,0.15,98.9000,,
Debby,2012,6,26,2100,UTC,29.3,83.2,35,0,29.2,83.7,29.4,82.7,-11.31,-0.19739556,-70.41440007,6,(3 Hour)***,11.73573335,Direct,1,0,0,995,35,,,,6,High Ebb,0,0,1,3.3,0.7,,,7,Florida,309,98.9000,,
Isaac,2012,8,29,0,UTC,28.9,89.4,70,1,28.6,88.8,29.1,90,22.62,0.39479112,89.7611,12,(6 Hour),7.480091667,Direct,1,0,0,967,70,,,,12,Low Neap,1,0,0,1.3,0.3,,,34,Louisiana,2390,93.6000,,
Sandy,2012,10,29,2035,UTC,38.7,73.9,65,1,38.3,73.2,39.5,74.5,42.71,0.74541948,122.156613,6,(3 Hour)***,20.3594355,Direct,1,0,0,942,70,,,,13,High Ebb,0,0,1,4,0.1,,,147,New York,75000,135.7000,,
Andrea,2013,6,6,2200,UTC,29.5,83.4,50,0,28.9,83.9,31.6,81.4,-47.20,-0.82384075,-254.0704437,12,(6 Hour),21.17253697,Direct,1,0,0,992,50,,,,26,High Neap,0,1,0,4.1,-0.2,,,4,Florida,0.09,98.9000,,
Arthur,2014,7,4,315,UTC,34.7,76.6,85,2,34,77.3,35.3,76,-45.00,-0.78539816,-126.941365,6,(3 Hour)***,21.15689417,Cross,0,0,1,973,85,,,,6,High Ebb,0,0,1,3,0.3,,,,North Carolina,,94.0000,,
Ana,2015,5,10,1000,UTC,33.8,78.8,40,0,33.5,78.6,34.3,78.7,82.87,1.44644133,55.66747107,12,(6 Hour),4.638955923,Direct,1,0,0,1002,40,,,,20,Low Neap,1,0,0,4.7,0.1,,,,South Carolina,,98.3000,,
Bill,2015,6,16,1645,UTC,28.2,96.7,50,0,28,96,29.1,96.9,50.71,0.88506682,98.13422534,12,(6 Hour),8.177852111,Direct,1,0,0,997,50,,,,27,High Neap,0,1,0,0.5,0.1,,,,Texas,,91.3000,,
Colin,2016,6,7,200,UTC,29.8,83.6,45,0,28.11,86.11,30.69,82.09,-32.69,-0.57058276,-329.8163504,12,(6 Hour),27.48469586,Direct,1,0,0,1001,45,,,,2,High Neap,0,1,0,3.4,-0.3,,,,Florida,,98.9000,,
Hermine,2016,9,2,530,UTC,30.1,84.1,70,1,28.99,84.81,34.31,82.81,-69.40,-1.21120193,-392.4300079,12,(6 Hour),32.70250066,Angled,0,1,0,981,70,,,,1,High Ebb,0,0,1,3.8,1,,,,Florida,,98.9000,,
Cindy,2017,6,22,700,UTC,29.8,93.7,45,0,28.5,93.4,30.5,93.8,78.69,1.37340077,140.8288001,12,(6 Hour),11.73573335,Direct,1,0,0,991,45,,,,26,Low Ebb,0,0,0,0.1,0,,,,Louisiana,,93.6000,,
Emily,2017,7,31,1445,UTC,27.4,82.7,50,0,27.69,83.91,27.5,82.21,6.38,0.11130280,-118.1107415,12,(6 Hour),9.842561788,Direct,1,0,0,1001,50,,,,7,Low Ebb,0,0,0,2,0.7,,,,Florida,,98.9000,,
Harvey,2017,8,26,300,UTC,28,96.9,115,4,27.81,96.8,28.2,97.1,52.43,0.91510070,33.97365002,12,(6 Hour),2.831137501,Direct,1,0,0,937,115,,,,4,High Neap,0,1,0,0.3,0.1,,,89,Texas,125000,91.3000,,
Harvey,2017,8,30,800,UTC,29.8,93.5,40,0,29.42,93.6,30.62,93.1,-67.38,-1.17600521,-89.7611,12,(6 Hour),7.480091667,Direct,1,0,0,991,40,,,,8,High Ebb,0,0,1,1.3,0.1,,,,Louisiana,,93.6000,,
Irma,2017,9,10,1300,UTC,24.7,81.5,115,4,25.6,81.71,23.7,81.31,78.11,1.36330010,-134.0650236,12,(6 Hour),11.1720853,Direct,1,0,0,931,115,,,,18,High Neap,0,1,0,2.2,0.2,,,97,Florida,50000,98.9000,,
Nate,2017,10,8,520,UTC,30.4,89,65,1,29.11,89.2,32.21,88.01,-69.00,-1.20427114,-229.2745118,12,(6 Hour),19.10620931,Direct,1,0,0,984,65,,,,16,High Ebb,0,0,1,1.9,0.5,,,,Mississippi,,85.7000,,
